id,title,author,genre,year_published,average_rating
384,Assimilated clear-thinking budgetary management,George Moyer,Non-Fiction,1940,2.2
385,Seamless systemic array,Brian Montgomery,Mystery,1904,4.9
386,Diverse needs-based customer loyalty,Henry Nguyen,Fantasy,2006,3.0
387,Synergized interactive extranet,Jason Morrison,Science Fiction,1931,4.3
388,Mandatory mobile application,Sarah Wall,Science Fiction,1937,1.2
389,Function-based context-sensitive orchestration,Ryan Wood,Fantasy,1919,2.0
390,Face-to-face 24/7 neural-net,Brent Mathews,Mystery,1945,2.4
391,Optimized mission-critical challenge,Janice Johnson,Fantasy,2017,3.6
392,Down-sized maximized array,Tammy Ayers,Non-Fiction,1951,4.6
393,Persevering mission-critical functionalities,Samantha Hicks,Romance,1943,2.8
394,Optional content-based capability,Jacqueline Rogers,Romance,1973,3.6
395,Future-proofed foreground customer loyalty,Anthony Chambers,Romance,1946,2.5
396,Business-focused uniform core,William Porter,Romance,1963,2.7
397,Grass-roots mission-critical website,Mr. Brian Miller,Science Fiction,1959,3.5
398,Advanced zero tolerance definition,Charles Andrade,Mystery,1965,3.5
399,Self-enabling upward-trending utilization,Ronald Brown,Mystery,1989,4.7
400,Cloned high-level customer loyalty,Dana Gonzalez,Fantasy,1914,2.0
401,Automated even-keeled contingency,Sheri Sweeney,Mystery,1977,1.3
402,Cross-group disintermediate structure,Thomas Miller,Non-Fiction,1990,4.9
403,Compatible asynchronous matrix,Kerry Reilly,Non-Fiction,1927,4.0
404,Right-sized multi-tasking focus group,Renee Soto,Mystery,1955,2.7
405,Synergized cohesive moratorium,Anthony Flores,Fantasy,1947,4.1
406,Centralized directional knowledgebase,Angela Patterson,Non-Fiction,1999,3.2
407,Future-proofed high-level definition,James Alvarez,Fantasy,1980,4.3
408,Pre-emptive tangible open system,Alexander Smith,Romance,2020,1.8
409,Devolved background hierarchy,Elijah Bailey,Science Fiction,2013,4.8
410,Phased fault-tolerant function,Kenneth Roach,Romance,1930,3.9
411,Assimilated high-level analyzer,Tammy Willis,Non-Fiction,1934,4.3
412,Networked 4thgeneration function,Dr. Kelly Phillips,Fantasy,1973,4.4
413,Multi-layered fault-tolerant middleware,Lori Ortiz,Fantasy,2000,2.6
414,Sharable 5thgeneration project,Wanda Fernandez,Mystery,1996,3.2
415,Business-focused non-volatile methodology,Veronica Perkins,Fantasy,2021,4.7
416,Open-source next generation hub,William Chen,Romance,1959,3.8
417,Public-key context-sensitive utilization,Dorothy Bright,Non-Fiction,1956,1.4
418,De-engineered actuating analyzer,Caroline Lopez,Science Fiction,2012,1.6
419,Sharable national function,Devin Becker,Mystery,1958,2.8
420,Quality-focused incremental adapter,Randy Briggs,Non-Fiction,2000,4.5
421,Fully-configurable explicit knowledgebase,Brandon English,Non-Fiction,1946,4.7
422,Polarized tertiary alliance,Michael Williams,Romance,1994,3.2
423,Ergonomic user-facing superstructure,Emily Bryant,Mystery,1929,3.5
424,Re-engineered methodical orchestration,Amy Baker,Romance,1961,1.7
425,Open-source foreground projection,Gregory Liu,Mystery,2020,2.9
426,Up-sized local concept,Emily Baldwin,Science Fiction,1996,3.6
427,Focused responsive approach,Connie Frost,Non-Fiction,2018,4.9
428,Self-enabling logistical solution,Mark Strickland,Science Fiction,2015,2.9
429,Centralized neutral migration,Dakota Perez,Fantasy,1974,2.2
430,Distributed dynamic orchestration,Richard Williams,Romance,2001,4.9
431,Profit-focused global parallelism,Brandon Lam,Non-Fiction,1952,2.2
432,Virtual executive projection,William Castaneda,Mystery,1925,2.3
433,Adaptive methodical support,Sharon Anderson,Science Fiction,1933,3.9
434,Pre-emptive composite collaboration,Paul Drake,Mystery,1931,2.9
435,Innovative holistic flexibility,Brett Walker DVM,Fantasy,1969,3.4
436,Networked composite project,Alexander Wagner,Science Fiction,1985,4.8
437,Persistent intermediate projection,Michael Pitts,Non-Fiction,1971,2.8
438,Assimilated actuating hub,Erin Ortega,Fantasy,1950,1.4
439,Networked exuding system engine,Kayla Hernandez,Fantasy,1966,5.0
440,Digitized impactful neural-net,Ebony Williams,Mystery,1928,3.2
441,Multi-channeled multimedia circuit,Annette Hampton,Non-Fiction,1995,4.3
442,Multi-lateral responsive intranet,Nicholas Burke,Science Fiction,1902,3.4
443,Implemented client-driven encryption,Karen Leonard,Science Fiction,1991,1.0
444,Automated multi-state system engine,Ronald Anderson,Mystery,1934,1.8
445,Vision-oriented incremental moratorium,Nicole Mack,Mystery,2020,1.4
446,Customer-focused hybrid framework,Angela Sims,Mystery,1999,1.4
447,Distributed zero-defect middleware,Rachel Walker MD,Romance,2014,1.2
448,Extended radical standardization,Jared Harvey,Mystery,1941,1.4
449,Extended 5thgeneration superstructure,Michael Andrews,Non-Fiction,1968,2.6
450,Proactive analyzing implementation,Richard David,Romance,1906,4.1
451,Stand-alone motivating firmware,Steven Taylor,Science Fiction,1984,2.7
452,Front-line value-added methodology,Sarah Schroeder,Non-Fiction,1904,3.8
453,Realigned systematic pricing structure,Charles Gallagher,Fantasy,1928,1.2
454,Robust optimal definition,Deanna Richard,Non-Fiction,2013,3.1
455,Sharable dedicated process improvement,Cole Owens,Romance,1933,2.6
456,Stand-alone holistic functionalities,Anthony Wright,Mystery,1982,3.1
457,Secured coherent matrices,Vanessa Singleton,Fantasy,1935,1.9
458,Business-focused maximized Internet solution,Kathleen Lowery,Mystery,1989,4.2
459,Cloned 24/7 implementation,Monica Wilson,Non-Fiction,2011,2.4
460,Inverse systemic algorithm,Dr. Maria Brown,Science Fiction,1946,1.7
461,Grass-roots content-based matrix,Aaron Smith,Science Fiction,1970,4.7
462,Secured 6thgeneration circuit,Joshua Roberts,Non-Fiction,2014,4.8
463,Face-to-face interactive throughput,Hannah Henderson,Fantasy,1905,4.3
464,Extended coherent open architecture,Natalie Rios,Romance,2018,3.9
465,Assimilated executive synergy,Craig Decker,Romance,1959,3.6
466,Open-source web-enabled process improvement,Isaiah Todd,Non-Fiction,1984,4.9
467,Managed intermediate hierarchy,Marvin Spence,Fantasy,1963,1.8
468,Future-proofed scalable utilization,Anne Thompson,Science Fiction,2014,4.0
469,User-friendly logistical knowledge user,Andrew Goodwin,Science Fiction,2006,4.7
470,Optimized next generation encoding,Victoria Sutton,Non-Fiction,1994,1.7
471,Persistent motivating attitude,Sean Garza,Romance,1963,4.3
472,Profit-focused demand-driven array,Erik Kim,Non-Fiction,1903,1.8
473,Synergistic multi-state interface,Jade Moore,Romance,1906,2.0
474,Future-proofed global parallelism,Frank Garcia,Mystery,1904,3.2
475,Automated maximized conglomeration,Jennifer Porter,Non-Fiction,1909,3.9
476,Ameliorated actuating monitoring,Gloria Johnson,Science Fiction,1913,3.0
477,Secured zero administration info-mediaries,Michelle Cruz,Fantasy,2017,2.2
478,Upgradable tangible installation,Jill Keith,Science Fiction,1964,4.8
479,Switchable attitude-oriented framework,Sean Sims,Romance,1958,3.8
480,Digitized national productivity,Dr. Maria Beasley PhD,Non-Fiction,1995,3.2
481,Organic directional matrix,Heather Fuentes,Mystery,2009,4.2
482,Monitored holistic archive,Laura Wagner,Mystery,1993,3.8
483,Right-sized asymmetric flexibility,Aaron Hall,Mystery,1976,1.4
484,Inverse fresh-thinking challenge,Shane Smith,Science Fiction,2010,3.1
485,Persevering heuristic hierarchy,Edward Carpenter,Fantasy,1909,3.4
486,Exclusive systematic throughput,Carrie Daniel,Mystery,2004,4.4
487,Quality-focused scalable toolset,Michael Turner,Mystery,1989,3.7
488,Up-sized didactic intranet,Pam Bond,Mystery,1952,3.7
489,Assimilated context-sensitive capability,Michelle Chavez,Science Fiction,1992,4.3
490,Reactive even-keeled moderator,Joe Campbell,Fantasy,1912,2.9
491,Operative zero tolerance software,James Mejia,Science Fiction,2000,1.7
492,Innovative uniform help-desk,Jessica Larsen,Romance,1948,1.1
493,Public-key tertiary initiative,Mark Graham,Non-Fiction,2007,1.5
494,Realigned didactic contingency,Emily Rodriguez,Non-Fiction,2006,2.6
495,Adaptive stable encoding,Derrick Scott,Fantasy,1962,3.1
496,Innovative bottom-line initiative,William Johnson,Romance,1920,3.0
497,Face-to-face demand-driven flexibility,Zachary Montgomery,Fantasy,2022,3.6
498,Upgradable high-level parallelism,Chelsea Hall,Science Fiction,1923,3.4
499,Monitored zero administration benchmark,Melissa Wood,Non-Fiction,2002,1.4
500,Enhanced executive application,Meghan Jones,Romance,2009,3.6
501,Networked regional budgetary management,Amanda Johnson,Mystery,1902,4.5
502,Configurable next generation website,Jessica Henry,Science Fiction,1992,4.8
503,Customizable grid-enabled instruction set,James Murray,Romance,1951,4.9
504,Organic didactic service-desk,Linda Torres,Fantasy,2002,4.1
505,Optional regional interface,William Nelson,Fantasy,1920,4.8
506,Customizable mission-critical hardware,Jesse King,Romance,2002,1.8
507,Phased local superstructure,Laura Willis,Mystery,1971,5.0
508,Diverse asynchronous project,Timothy Gonzalez,Non-Fiction,2011,4.0
509,Self-enabling eco-centric Graphical User Interface,Christine Anderson,Science Fiction,1998,2.6
510,Self-enabling encompassing service-desk,Eddie Russo,Fantasy,1957,1.7
511,Optimized solution-oriented flexibility,Jeffrey Bailey,Non-Fiction,2022,2.4
512,Progressive coherent synergy,Steven Bell MD,Romance,2000,3.0
513,Persevering hybrid array,Phillip Hughes,Science Fiction,1969,2.8
514,Right-sized grid-enabled implementation,Kyle Massey,Romance,1949,2.5
515,Programmable encompassing time-frame,Alison Castillo,Non-Fiction,2020,2.6
516,Inverse directional moratorium,Kyle Miller,Science Fiction,1905,3.3
517,Down-sized national task-force,Sarah Boyd,Mystery,1953,4.9
518,Robust asymmetric website,Melissa Moore,Romance,2015,1.8
519,Multi-lateral asynchronous Internet solution,Valerie Bryan,Science Fiction,1943,1.4
520,Advanced holistic database,Casey Stephenson,Science Fiction,2009,3.9
521,Fully-configurable intermediate interface,Jimmy Blair,Fantasy,1906,2.9
522,Upgradable asymmetric time-frame,Mary Allen,Science Fiction,1964,4.4
523,Business-focused intangible collaboration,Lori Lewis,Non-Fiction,1984,3.7
524,Down-sized composite projection,Whitney Anderson,Romance,1992,1.3
525,Synergized full-range open architecture,Taylor Clark,Mystery,1932,1.2
526,Cloned value-added methodology,Steven Watkins,Fantasy,2019,3.0
527,Expanded demand-driven contingency,Jennifer Brooks,Mystery,1944,4.0
528,Virtual executive success,Ashley Delgado,Fantasy,2016,3.2
529,Robust context-sensitive Internet solution,Jacob Thomas,Mystery,1916,4.9
530,Compatible systemic emulation,Nicole Santiago,Fantasy,1954,1.1
531,Robust next generation website,Terry Goodman,Mystery,1955,1.1
532,Decentralized attitude-oriented service-desk,Nicole Trujillo,Mystery,1912,1.5
533,Function-based human-resource structure,Derek Smith,Non-Fiction,1999,3.4
534,Secured executive customer loyalty,Mark Buchanan,Fantasy,1907,4.9
535,Adaptive fault-tolerant array,Lonnie Sheppard DVM,Non-Fiction,1944,4.4
536,Reverse-engineered incremental methodology,Tamara Martinez,Mystery,1985,1.2
537,Implemented cohesive strategy,Shaun Williams,Fantasy,1903,2.2
538,Front-line bifurcated strategy,Devin Taylor,Fantasy,2012,4.3
539,Object-based asymmetric software,Deanna Lopez,Non-Fiction,1959,2.8
540,Implemented interactive matrices,George Phelps,Fantasy,1954,4.1
541,Exclusive exuding knowledgebase,Nathan Gonzalez,Non-Fiction,1920,3.3
542,Balanced 5thgeneration workforce,Rebecca Garcia,Science Fiction,1942,1.9
543,Centralized disintermediate strategy,Pamela Mckenzie,Fantasy,1979,1.7
544,Seamless didactic workforce,Leslie Parker,Non-Fiction,2016,4.3
545,Re-contextualized transitional service-desk,Ricardo Harris MD,Fantasy,1911,2.0
546,De-engineered clear-thinking moderator,Charles Williams,Science Fiction,1963,3.1
547,Upgradable 4thgeneration ability,Jeremy Hartman,Non-Fiction,1923,4.6
548,Sharable intermediate open system,Jeffery Wilkinson,Romance,1953,4.4
549,Multi-channeled static Local Area Network,Stacie Ross,Science Fiction,1940,2.6
550,Managed context-sensitive secured line,Richard Hutchinson,Fantasy,1939,2.4
551,Customizable local encryption,Whitney Lewis,Romance,1921,2.4
552,Focused content-based budgetary management,Erika Johnson,Science Fiction,1902,3.1
553,Synchronized composite ability,Alexander Fuller,Science Fiction,1993,3.2
554,Re-engineered directional Internet solution,Mr. Wayne Ward,Science Fiction,1959,2.0
555,Polarized neutral instruction set,Richard Smith,Mystery,2000,3.1
556,Digitized stable contingency,Jerry Turner,Non-Fiction,1991,3.6
557,Optimized client-driven access,Aaron Lee,Romance,2003,1.3
558,Innovative multimedia moratorium,Grant Hutchinson,Mystery,1995,1.5
559,Optimized composite leverage,Aaron Smith,Mystery,1935,4.9
560,Distributed even-keeled encryption,Donna Conner,Mystery,1986,2.1
561,Team-oriented executive concept,William Jackson DDS,Science Fiction,1970,2.6
562,Synchronized client-server database,Joseph Jones,Romance,1970,4.0
563,Fundamental multimedia hardware,Haley Burke,Science Fiction,1942,4.2
564,Expanded web-enabled array,John Macdonald,Romance,1967,3.5
565,Total 24hour portal,Brandon Hill,Science Fiction,1963,2.4
566,Persistent tertiary hub,Joseph Scott,Science Fiction,1941,3.5
567,Persevering mobile knowledge user,Darlene Thomas,Non-Fiction,1958,4.2
568,Synergistic client-server circuit,Elizabeth Cooper,Fantasy,1997,2.3
569,Cloned even-keeled Internet solution,Christopher Simmons,Non-Fiction,2000,4.1
570,Multi-lateral needs-based function,Cynthia Davila,Fantasy,1901,4.3
571,Customer-focused scalable frame,Valerie Lee,Mystery,1967,2.7
572,Up-sized web-enabled forecast,Mark Johnson,Romance,1907,4.0
573,Programmable encompassing definition,Nancy Kirby,Science Fiction,1923,4.7
574,Seamless intangible access,Denise Rice,Romance,2018,1.1
575,Public-key global artificial intelligence,Lindsey Steele,Mystery,1948,4.0
576,Realigned intangible encryption,Maria Sanchez MD,Romance,1910,3.4
577,Team-oriented 5thgeneration utilization,Mike Frey,Fantasy,1913,3.9
578,Implemented exuding flexibility,Alyssa Meyers,Science Fiction,1907,2.0
579,Ergonomic grid-enabled toolset,Patrick Smith,Non-Fiction,2000,3.6
580,Distributed zero-defect knowledgebase,Jessica Mccullough,Non-Fiction,1983,4.5
581,Function-based user-facing encryption,Patrick Caldwell,Science Fiction,1965,1.7
582,Switchable scalable collaboration,Sandra Ayala,Science Fiction,1982,2.8
583,Multi-lateral tertiary Internet solution,Joseph Reed V,Science Fiction,2008,2.5
584,Extended bottom-line definition,Joseph Martin MD,Mystery,2019,3.9
585,Robust optimal architecture,Jeffrey Chang,Non-Fiction,1948,4.4
586,User-friendly content-based Local Area Network,Anthony Bennett,Science Fiction,1991,4.5
587,Compatible multimedia open system,Alan Mcdonald,Romance,1955,3.1
588,Organic logistical artificial intelligence,Susan Lopez,Romance,2017,4.0
589,Multi-tiered zero tolerance toolset,Julie Day,Romance,1910,4.0
590,Stand-alone heuristic contingency,Jesse Martin,Science Fiction,2004,3.2
591,Reduced value-added productivity,Michelle Blackburn,Fantasy,2021,3.2
592,Upgradable global forecast,Sabrina Wilson,Science Fiction,1980,4.4
593,Business-focused logistical benchmark,Angela Flynn,Science Fiction,1940,1.8
594,Enhanced client-driven data-warehouse,Debra Romero,Fantasy,1947,4.4
595,Focused intermediate neural-net,Kimberly Rangel,Science Fiction,1935,5.0
596,Quality-focused coherent system engine,Melinda Morgan,Romance,1977,3.2
597,Team-oriented high-level interface,Daniel Moore,Romance,1906,1.2
598,Robust mission-critical structure,Lori Mccarthy,Science Fiction,2012,4.0
599,Reactive cohesive neural-net,Paul Carson,Science Fiction,1934,3.5
600,Reverse-engineered 24/7 extranet,Matthew Williams,Science Fiction,1972,2.8
601,Self-enabling zero-defect alliance,Jeffrey Williams,Non-Fiction,2005,4.7
602,Enterprise-wide context-sensitive parallelism,Daniel Yates,Non-Fiction,1934,1.4
603,Advanced zero-defect core,Michael Keller,Romance,2007,2.7
604,Versatile multimedia approach,Gregory Davis,Non-Fiction,2012,4.2
605,Customer-focused homogeneous strategy,Debbie Boone,Non-Fiction,1971,3.2
606,Reverse-engineered zero tolerance middleware,Megan Lewis,Non-Fiction,1937,3.3
607,Ameliorated client-driven benchmark,Nicholas Mccarty,Fantasy,1932,4.2
608,Enhanced didactic framework,Tamara Hill,Science Fiction,1914,1.2
609,Configurable solution-oriented challenge,Kevin Barnett,Fantasy,1941,2.9
610,Monitored context-sensitive moratorium,Lindsey Kelly,Fantasy,2017,3.2
611,Total empowering collaboration,Frank Reese,Romance,1932,3.8
612,Expanded regional challenge,Jacob Oconnor,Non-Fiction,1910,4.3
613,Right-sized grid-enabled capability,Veronica Davis,Non-Fiction,2017,3.3
614,Versatile needs-based secured line,Wendy Crawford,Fantasy,1911,1.1
615,Configurable encompassing policy,Daniel Castro,Fantasy,1987,1.7
616,Reactive optimizing firmware,Morgan Miller,Mystery,1969,3.7
617,Realigned local database,Michael Robinson,Romance,1954,4.0
618,Operative tertiary structure,Paul Prince,Non-Fiction,1929,3.0
619,Fundamental motivating adapter,Denise Torres,Romance,1961,1.6
620,Right-sized 4thgeneration encryption,Susan Wong,Mystery,1913,4.8
621,Compatible bifurcated system engine,Rodney Beasley,Fantasy,1971,3.4
622,Future-proofed optimizing parallelism,Ryan Hodges,Mystery,1942,3.0
623,Extended multimedia ability,Paige Lewis,Fantasy,1930,2.2
624,Grass-roots zero administration paradigm,Brittany Cummings,Non-Fiction,1943,4.1
625,Right-sized leadingedge initiative,Michael Shea,Mystery,1972,1.4
626,Public-key motivating customer loyalty,Paul Mitchell,Fantasy,2016,4.0
627,Re-engineered client-driven software,Amanda Mayo,Non-Fiction,2005,4.6
628,Profound global frame,Alexander Johnson,Science Fiction,1940,3.0
629,Seamless disintermediate ability,Cynthia Williams,Mystery,1921,3.0
630,Enhanced multi-tasking intranet,Rachel Arnold,Mystery,1962,5.0
631,Reduced optimizing infrastructure,Anthony Foster,Romance,2022,2.3
632,Expanded holistic extranet,Kelly Johnson,Non-Fiction,1957,2.5
633,Horizontal leadingedge solution,Ronald Torres,Non-Fiction,1940,2.2
634,Self-enabling bi-directional moderator,Chelsea Robinson,Fantasy,1971,3.1
635,Total composite utilization,Phillip George,Science Fiction,1918,3.3
636,Enhanced uniform open system,Jonathan Sanders,Romance,1929,4.1
637,Business-focused value-added firmware,Michael Lloyd,Non-Fiction,1999,4.9
638,Balanced object-oriented neural-net,Alyssa Jackson,Science Fiction,1970,4.7
639,Switchable interactive encoding,Erin Torres,Fantasy,2007,4.5
640,Re-engineered analyzing solution,Stephen Bennett,Science Fiction,1920,4.5
641,Diverse impactful success,Cameron Lin,Non-Fiction,2010,4.0
642,Managed eco-centric matrices,Jennifer Scott,Non-Fiction,1914,2.5
643,Re-engineered exuding encoding,Ashley Hubbard,Non-Fiction,1988,1.8
644,Expanded user-facing methodology,Brittany Medina,Romance,2001,4.3
645,Object-based attitude-oriented software,Sharon Wells,Mystery,1978,2.4
646,Robust bottom-line interface,Rebecca Myers,Science Fiction,1956,2.8
647,Focused asynchronous success,Brandi Holland,Mystery,1951,1.4
648,Persevering modular initiative,Thomas Nielsen,Fantasy,1959,1.5
649,Secured multimedia success,Katie Bennett,Science Fiction,1905,4.6
650,Distributed multi-state forecast,David Perez,Science Fiction,2005,3.2
651,Multi-lateral next generation process improvement,Robert Moore,Science Fiction,1926,4.5
652,Advanced fresh-thinking analyzer,Gwendolyn Brooks,Non-Fiction,1938,2.0
653,Centralized leadingedge neural-net,Robert Sanchez,Non-Fiction,2021,1.1
654,Business-focused client-server migration,Elizabeth Moyer,Mystery,2003,1.6
655,Re-contextualized zero tolerance attitude,Jesse Hanson,Science Fiction,1902,3.7
656,Streamlined reciprocal time-frame,Scott Bradley,Non-Fiction,2002,1.4
657,User-centric radical toolset,Jose Porter,Non-Fiction,1985,4.8
658,Synergized 24hour synergy,Anthony Mcmillan,Fantasy,2013,4.4
659,Right-sized systemic parallelism,Louis Morgan,Non-Fiction,1982,3.9
660,Implemented tertiary solution,Bobby Carpenter,Science Fiction,1997,4.0
661,Customizable exuding open architecture,Michael Miller,Romance,1988,2.4
662,Robust regional instruction set,Jasmine Sullivan,Science Fiction,1971,2.6
663,Profound responsive matrices,Maria Hicks,Mystery,1994,2.9
664,Versatile clear-thinking infrastructure,Meagan Coleman,Non-Fiction,1923,3.6
665,Cross-group high-level analyzer,Ronald Gordon,Non-Fiction,1926,4.2
666,Re-engineered 24/7 time-frame,Mark Jones,Non-Fiction,1919,4.6
667,Diverse encompassing core,Nicole Green,Fantasy,1948,2.8
668,Reduced cohesive task-force,Gail Wheeler,Romance,1973,1.4
669,Balanced background toolset,Patricia Brown,Mystery,1976,3.2
670,Re-contextualized tangible Internet solution,Benjamin Carpenter,Fantasy,1926,1.9
671,Fully-configurable interactive budgetary management,Todd Owens,Fantasy,2000,1.8
672,Diverse stable circuit,Kevin Robertson,Non-Fiction,1939,1.8
673,Triple-buffered well-modulated framework,Duane Garrison,Romance,1936,4.9
674,Organic static application,Nancy Ryan,Non-Fiction,1974,2.1
675,Re-engineered responsive model,Wendy Myers,Non-Fiction,2001,1.9
676,Intuitive national throughput,Lisa Rose,Romance,1926,1.9
677,Assimilated full-range Graphical User Interface,Matthew Simpson,Science Fiction,1940,2.2
678,Reverse-engineered fault-tolerant strategy,Pamela Hartman,Mystery,1955,3.6
679,Public-key multi-state orchestration,Linda Figueroa,Romance,2012,4.1
680,Multi-layered discrete function,Philip Williams,Romance,1904,3.9
681,Upgradable fresh-thinking workforce,Jon Reynolds,Non-Fiction,1944,4.5
682,Switchable background migration,Wendy Sutton,Fantasy,1919,3.2
683,Exclusive multi-tasking complexity,Nicholas Berry,Non-Fiction,1951,3.7
684,Adaptive reciprocal throughput,Timothy Stephenson,Mystery,1941,4.9
685,Compatible mission-critical knowledgebase,Karen Ali,Romance,1987,4.4
686,Innovative neutral budgetary management,Frank Roberts,Non-Fiction,1903,4.2
687,Optional multi-tasking algorithm,Whitney Hart,Fantasy,1901,4.1
688,Customer-focused secondary forecast,Melanie Hansen,Romance,1949,2.2
689,Inverse 24/7 moderator,Michael Tran,Science Fiction,1915,3.5
690,Virtual directional toolset,Alice Boyd MD,Fantasy,1948,1.2
691,Fundamental tertiary frame,Shane King,Mystery,1974,4.6
692,Managed scalable encoding,Todd Hernandez,Mystery,1998,3.1
693,Centralized multi-state time-frame,Christopher James,Fantasy,1905,3.7
694,Horizontal value-added open architecture,Thomas Garcia,Non-Fiction,2012,3.6
695,Quality-focused demand-driven process improvement,Shawn Santana,Non-Fiction,1950,4.6
696,Switchable modular Graphical User Interface,Paul Cortez,Non-Fiction,1988,4.7
697,Compatible context-sensitive model,Mr. Andrew Nicholson,Romance,1942,1.2
698,Managed local alliance,Nicole Bailey,Romance,1977,2.7
699,Profound context-sensitive attitude,Andrea Jones,Science Fiction,1957,4.1
700,Down-sized reciprocal instruction set,Christopher Fisher,Romance,2002,3.9
701,Down-sized 5thgeneration strategy,Tommy Barker,Fantasy,1927,1.2
702,Organic upward-trending matrices,Nathan Mata,Mystery,1943,1.8
703,Ergonomic upward-trending portal,Bradley Anderson,Non-Fiction,1916,4.3
704,Ergonomic methodical middleware,Scott Hull,Romance,1981,1.9
705,Organic client-server forecast,Samantha Hernandez,Romance,1951,2.1
706,Multi-layered grid-enabled forecast,Jerry Klein,Non-Fiction,2004,3.8
707,Synergistic bi-directional strategy,Danielle Ingram,Science Fiction,1998,3.1
708,Future-proofed client-server analyzer,Joseph Maxwell,Fantasy,1953,2.3
709,Assimilated encompassing capacity,Donna Garcia,Non-Fiction,1965,1.9
710,Universal zero-defect methodology,Eric Oconnell,Science Fiction,2015,4.3
711,Public-key real-time archive,Kayla Nunez,Science Fiction,1905,2.7
712,Horizontal client-driven implementation,Sandra Crosby,Fantasy,1999,3.9
713,Realigned intangible open system,Benjamin Smith,Science Fiction,2004,4.2
714,Expanded value-added website,Ashley Sheppard,Fantasy,2005,4.6
715,Extended real-time paradigm,Dr. Michelle Walker,Mystery,1903,1.3
716,Triple-buffered radical open system,Justin Bell,Mystery,1936,3.1
717,Compatible zero administration orchestration,Nicholas Pope,Romance,1924,1.7
718,Switchable systematic encoding,Jeremy Barton,Mystery,1998,1.6
719,Cloned interactive project,Christopher Bowman,Mystery,1979,3.0
720,Vision-oriented static array,Terry Allen,Romance,1997,3.6
721,Enterprise-wide maximized collaboration,Matthew Casey Jr.,Fantasy,1947,4.8
722,Expanded non-volatile open system,Glen Patterson,Fantasy,2018,2.6
723,Optimized composite matrix,Courtney Davis,Fantasy,1957,2.1
724,Public-key tertiary synergy,Crystal Vasquez,Science Fiction,1982,2.0
725,Integrated national monitoring,Shane French,Mystery,2011,2.0
726,Polarized next generation adapter,Jose Norman,Non-Fiction,1973,2.6
727,Reactive 24hour analyzer,Sarah Young,Romance,1955,4.5
728,Open-source asymmetric budgetary management,Jerry Larsen,Fantasy,1978,1.5
729,Secured explicit moderator,Rachel Jackson,Fantasy,1985,1.0
730,Multi-tiered client-driven approach,Diana Carter,Romance,1963,1.6
731,Universal solution-oriented portal,Laurie Wheeler,Romance,1930,1.7
732,Exclusive composite protocol,Dawn Brown,Romance,1925,3.2
733,Sharable exuding archive,Rachael Ayala,Mystery,1994,1.3
734,Assimilated asymmetric benchmark,Hayden Hart,Fantasy,1965,1.4
735,Centralized user-facing frame,Renee Morgan,Romance,1924,2.2
736,Fundamental leadingedge application,Katrina Hebert,Non-Fiction,1942,3.1
737,Secured upward-trending conglomeration,James Hunt,Mystery,2009,3.6
738,Ergonomic bandwidth-monitored open architecture,Stephanie Welch,Science Fiction,1969,3.4
739,Configurable dedicated extranet,Marc Gonzalez,Mystery,1921,1.9
740,Fully-configurable bandwidth-monitored adapter,Craig Williams,Non-Fiction,1929,1.3
741,Diverse bottom-line synergy,Ashley Smith,Romance,1944,4.4
742,Adaptive object-oriented secured line,Stephanie Moore,Romance,1960,2.3
743,Intuitive contextually-based productivity,Joshua Huber,Mystery,2002,3.3
744,Networked neutral knowledge user,Jose Gilmore,Non-Fiction,2008,2.5
745,Object-based 3rdgeneration open system,Tonya Barnes,Non-Fiction,1971,1.3
746,Proactive reciprocal alliance,Tiffany Joseph,Romance,1933,3.9
747,Seamless intermediate architecture,Kevin Brock,Non-Fiction,1921,3.8
748,Business-focused hybrid monitoring,Yvette French,Fantasy,1950,1.4
749,Balanced client-server framework,Peter Taylor,Science Fiction,1944,1.2
750,Devolved stable website,Travis Wu,Romance,1991,2.3
751,Fully-configurable upward-trending firmware,Andrew Ingram,Romance,1912,1.5
752,Face-to-face fresh-thinking challenge,Joseph Stevens,Non-Fiction,1911,2.6
753,Realigned neutral parallelism,Brittany Bennett,Mystery,1993,3.3
754,Self-enabling systemic toolset,April Burton,Science Fiction,1969,3.5
755,Persevering holistic challenge,Brittany Armstrong,Science Fiction,1994,4.0
756,Versatile contextually-based firmware,Lisa Mitchell,Fantasy,1933,4.0
757,Front-line solution-oriented attitude,Angel Craig,Science Fiction,1902,3.6
758,Visionary fault-tolerant architecture,Andre Rodriguez,Romance,1941,1.2
759,Progressive background help-desk,Travis Flores,Fantasy,1985,3.9
760,Universal dynamic circuit,Kristina Lawrence,Romance,1941,2.7
761,Sharable executive array,Jeremy Booth,Romance,1906,1.1
762,Re-engineered human-resource capability,Julie Smith,Non-Fiction,2019,2.6
763,User-friendly composite firmware,Alexander Flores,Romance,2013,4.3
764,Decentralized demand-driven project,Kelly Aguilar,Fantasy,1918,2.3
765,Pre-emptive heuristic capacity,Anna Howell,Fantasy,2005,3.6
766,Switchable 24/7 monitoring,Sherri Estrada,Fantasy,1905,2.7
767,Persevering scalable process improvement,Larry Daniels,Fantasy,1981,3.0
768,Inverse solution-oriented budgetary management,Dennis Knight,Mystery,1914,2.2
769,Pre-emptive systemic firmware,Kenneth Johnson,Science Fiction,1982,3.1
770,Extended 4thgeneration paradigm,Angela Moore,Non-Fiction,1969,5.0
